wifi,bluetooth,autorotate,batterysaver,donotdisturb,magneticfield,orientation,,,,
location,bluetooth,autorotate,batterysaver,camera,light,,,,,
wifi,mobiledata,accelerometer,gyroscope,magneticfield,orientation,proximity,,,,
location,bluetooth,gyroscope,light,orientation,,,,,,
wifi,autorotate,donotdisturb,light,magneticfield,orientation,,,,,
mobiledata,autorotate,donotdisturb,camera,accelerometer,gyroscope,light,orientation,,,
location,bluetooth,autorotate,batterysaver,camera,gyroscope,light,magneticfield,orientation,proximity,
location,mobiledata,bluetooth,donotdisturb,camera,accelerometer,light,magneticfield,,,
location,wifi,autorotate,batterysaver,donotdisturb,camera,light,magneticfield,proximity,,
gyroscope,orientation,,,,,,,,,
location,wifi,mobiledata,bluetooth,batterysaver,camera,gyroscope,magneticfield,orientation,,
autorotate,batterysaver,donotdisturb,accelerometer,gyroscope,light,,,,,
mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,gyroscope,light,magneticfield,orientation,proximity
location,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,magneticfield,proximity
location,gyroscope,orientation,,,,,,,,
location,wifi,autorotate,camera,accelerometer,light,,,,,
batterysaver,accelerometer,gyroscope,magneticfield,orientation,,,,,,
location,bluetooth,batterysaver,donotdisturb,camera,gyroscope,light,magneticfield,orientation,,
location,mobiledata,bluetooth,batterysaver,donotdisturb,camera,magneticfield,orientation,proximity,,
wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,orientation,proximity,
location,wifi,bluetooth,donotdisturb,light,,,,,,
wifi,bluetooth,autorotate,batterysaver,donotdisturb,accelerometer,orientation,proximity,,,
location,mobiledata,autorotate,gyroscope,light,magneticfield,orientation,,,,
location,wifi,mobiledata,autorotate,donotdisturb,camera,gyroscope,,,,
mobiledata,autorotate,donotdisturb,camera,light,magneticfield,orientation,,,,
location,mobiledata,batterysaver,camera,accelerometer,proximity,,,,,
autorotate,camera,accelerometer,light,orientation,proximity,,,,,
location,wifi,mobiledata,bluetooth,autorotate,donotdisturb,camera,gyroscope,light,proximity,
location,wifi,bluetooth,camera,accelerometer,proximity,,,,,
location,wifi,bluetooth,autorotate,batterysaver,donotdisturb,camera,gyroscope,light,,