wifi,batterysaver,camera,light,proximity,,,,,,
wifi,bluetooth,autorotate,donotdisturb,camera,accelerometer,gyroscope,light,orientation,proximity,
wifi,bluetooth,autorotate,donotdisturb,light,magneticfield,,,,,
location,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,magneticfield,orientation,proximity
location,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,orientation,proximity,,
location,wifi,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,magneticfield,,
location,batterysaver,donotdisturb,light,orientation,,,,,,
location,wifi,bluetooth,autorotate,donotdisturb,camera,accelerometer,magneticfield,proximity,,
wifi,mobiledata,autorotate,donotdisturb,gyroscope,light,orientation,proximity,,,
location,mobiledata,autorotate,batterysaver,donotdisturb,accelerometer,,,,,
mobiledata,bluetooth,autorotate,donotdisturb,camera,light,magneticfield,orientation,,,
location,wifi,bluetooth,autorotate,accelerometer,,,,,,
bluetooth,autorotate,donotdisturb,light,proximity,,,,,,
wifi,batterysaver,gyroscope,magneticfield,proximity,,,,,,
location,wifi,bluetooth,autorotate,donotdisturb,magneticfield,,,,,
location,wifi,autorotate,batterysaver,donotdisturb,camera,light,proximity,,,
autorotate,batterysaver,camera,gyroscope,light,magneticfield,orientation,proximity,,,
location,mobiledata,bluetooth,batterysaver,donotdisturb,camera,accelerometer,magneticfield,orientation,proximity,
location,wifi,bluetooth,autorotate,magneticfield,orientation,proximity,,,,
location,wifi,batterysaver,donotdisturb,gyroscope,light,magneticfield,orientation,,,
location,wifi,mobiledata,bluetooth,batterysaver,donotdisturb,accelerometer,magneticfield,orientation,proximity,
wifi,bluetooth,autorotate,batterysaver,gyroscope,magneticfield,,,,,
location,wifi,bluetooth,camera,gyroscope,proximity,,,,,
wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,gyroscope,magneticfield,orientation,proximity,
mobiledata,donotdisturb,gyroscope,light,orientation,proximity,,,,,
location,mobiledata,bluetooth,autorotate,batterysaver,camera,gyroscope,proximity,,,
wifi,mobiledata,donotdisturb,camera,light,orientation,,,,,
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,accelerometer,light,orientation,,
wifi,mobiledata,bluetooth,autorotate,accelerometer,gyroscope,light,,,,
location,bluetooth,autorotate,batterysaver,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity